"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm"
"142","Engraulidae","AT14-1-2",1.705109523,1705.109523,"Sub Recent","Bocas","Casa Blanca","orig_df",1.030090021,5.87907493011368
"143","Engraulidae","AT14-3-1",1.779019055,1779.019055,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.132429371,6.16411031558987
"144","Engraulidae","AT12-1-3-1",1.784551958,1784.551958,"Sub Recent","Bocas","STRI Point","orig_df",1.006749648,6.18550412095175
"145","Engraulidae","AT14-3-1",1.801332453,1801.332453,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.152904364,6.25043531533392
"146","Engraulidae","AT14-3-1",1.802021577,1802.021577,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.113297469,6.25310334386581
"147","Engraulidae","AT14-2-2",1.806741349,1806.741349,"Sub Recent","Bocas","Punta Donato","orig_df",1.039926017,6.27137969542646
"148","Engraulidae","AT14-2-2",1.815816072,1815.816072,"Sub Recent","Bocas","Punta Donato","orig_df",1.071085507,6.30653522282012
"149","Engraulidae","AT12-1-3-1",1.821502152,1821.502152,"Sub Recent","Bocas","STRI Point","orig_df",1.100970361,6.32857350055606
"150","Engraulidae","AT14-1-2",1.830172512,1830.172512,"Sub Recent","Bocas","Casa Blanca","orig_df",1.061309293,6.36219366367938
"151","Engraulidae","AT14-1-2",1.8617855,1861.7855,"Sub Recent","Bocas","Casa Blanca","orig_df",1.027543623,6.48493172090438
"152","Engraulidae","AT14-1-2",1.943230835,1943.230835,"Sub Recent","Bocas","Casa Blanca","orig_df",1.041280409,6.80224873998171
"153","Engraulidae","AT14-1-2",1.958585536,1958.585536,"Sub Recent","Bocas","Casa Blanca","orig_df",1.014912627,6.86224644915126
"154","Engraulidae","AT14-2-2",1.973751053,1973.751053,"Sub Recent","Bocas","Punta Donato","orig_df",0.9507650068,6.92155840051129
"155","Engraulidae","AT14-3-1",2.013157873,2013.157873,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.288022796,7.07592331923838
"156","Engraulidae","AT14-3-1",2.019806284,2019.806284,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.265818469,7.1020012513508
"157","Engraulidae","AT14-1-2",2.038184984,2038.184984,"Sub Recent","Bocas","Casa Blanca","orig_df",1.122733648,7.17414204902804
